KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2,AREA,YEAR
11,68,19,3,425,4001,U,03D,3i,4S,Sk,0,1,,1,,,289,67,,1,494,129,26,19,1,5,1968
11,68,19,2,1922,4002,U,03D,3i,4S,Sk,1,2,,,,,289,66,,1,858,128,26,19,2,5,1968
11,68,18,5,1141,4003,F,09I,9b,3U,So,0,2,7,,60,,343,67,,1,489,124,25,18,2,4,1968
11,68,16,1,3039,4004,T,09I,9b,3U,So,6,2,7,,45,,343,61,,1,2661,106,22,16,2,4,1968
11,68,15,2,3040,4005,F,09I,9b,3U,So,1,1,,3,62,,343,66,,1,830,100,20,15,1,4,1968
11,68,18,1,3041,4006,X,20E,4c,1L,Ja,3,1,,3,,,458,64,,1,1580,120,24,18,1,2,1968
11,68,20,4,1923,4010,S,10I,7h,3U,Up,0,2,7,,62,,417,67,,1,502,137,28,20,2,4,1968
11,68,20,7,2029,4013,S,10I,7h,3U,Up,3,2,7,,64,,417,64,,1,1600,140,28,20,2,4,1968
11,68,20,5,1413,4017,G,10G,4d,3U,So,0,2,7,,,,27,67,,1,503,138,28,20,2,4,1968
11,68,21,2,1926,4018,S,02D,8j,4S,Sk,1,1,,1,,,129,66,,1,872,142,29,21,1,5,1968
11,68,21,6,1927,4019,S,10E,7c,2H,Vr,1,1,,1,67,,46,66,,1,876,146,30,21,1,3,1968
11,68,20,6,2033,4020,G,03D,3i,4S,Sk,1,2,7,,,,289,66,,1,869,139,28,20,2,5,1968
11,68,21,1,1928,4021,U,03D,3i,4S,Sk,1,1,,1,,,289,66,,1,871,141,29,21,1,5,1968
11,67,45,6,3042,4022,G,29J,7h,1L,Lp,6,2,1,,,,238,61,,1,2505,315,63,45,2,2,1967
11,68,11,4,3043,4023,V,29J,7h,1L,Lp,0,2,1,,,,238,67,,1,439,74,15,11,2,2,1968
11,68,19,5,2359,4024,V,29J,7h,1L,Lp,0,2,5,,33,,238,67,,1,496,131,27,19,2,2,1968
11,67,51,2,3044,4025,F,29J,7h,1L,Lp,0,2,1,,,,238,67,,1,353,353,71,51,2,2,1967
11,68,4,2,3045,4026,F,29J,7h,1L,Lp,1,2,1,,,,238,66,,1,753,23,5,4,2,2,1968
11,68,22,2,323,4027,V,29J,7h,1L,Lp,1,2,7,,54,,309,66,,1,879,149,30,22,2,2,1968
