KT,Y,W,D,Time,Nr,Js,Rak1,Rak2,NyLskp,LSkp,Age,Sex,Bfas,Sp,Vikt1,Fvikt,Jnr,Bornyear,Fx,Frisk,Agedays,Dnr,5per,7per,Sex2
11,69,2,6,227,5381,V,29J,7h,1L,Lp,3,1,,3,69,,255,65,,1,1471,11,3,2,1
11,69,6,6,751,5382,X,18F,3c,1L,Ja,1,1,,3,59,,35,67,,1,769,39,8,6,1
11,69,9,1,752,5383,X,18F,3c,1L,Ja,0,1,,3,63,,35,68,,1,420,55,11,8,1
11,69,8,3,753,5384,X,20E,8e,1L,Ja,5,1,,3,58,,112,63,,1,2240,50,10,8,1
11,69,8,7,754,5385,X,20E,8e,1L,Ja,2,2,2,,51,,112,66,,1,1149,54,11,8,2
11,69,8,1,602,5386,F,19G,1e,1L,Ja,0,1,,3,51,,271,68,,1,413,48,10,7,1
11,69,8,7,111,5387,V,19G,1e,1L,Ja,3,2,2,,58,,271,65,,1,1514,54,11,8,2
11,69,8,5,755,5388,X,19E,5g,1L,Ja,1,1,,3,55,,179,67,,1,782,52,11,8,1
11,69,8,3,756,5389,X,19E,5g,1L,Ja,1,1,,3,66,,179,67,,1,780,50,10,8,1
11,69,8,4,757,5390,X,19E,5g,1L,Ja,1,1,,3,64,,179,67,,1,781,51,11,8,1
11,69,8,6,758,5391,X,19E,5g,1L,Ja,2,2,1,,46,,179,66,,1,1148,53,11,8,2
11,69,8,6,759,5392,X,19E,5g,1L,Ja,4,2,2,,54,,179,64,,1,1878,53,11,8,2
11,69,8,7,850,5393,F,16E,6g,1L,Hr,2,1,,3,57,,103,66,,1,1149,54,11,8,1
11,69,8,6,948,5394,G,11C,8a,2H,Vr,0,1,,3,71,,397,68,,1,418,53,11,8,1
11,69,7,7,1454,5395,G,11C,8a,2H,Vr,1,1,,3,60,,397,67,,1,777,47,10,7,1
11,69,9,1,700,5396,X,18E,3f,1L,Ja,2,2,1,,54,,297,66,,1,1150,55,11,8,2
11,69,8,6,1255,5397,G,02D,2d,4S,Sk,2,2,5,,63,,60,66,,1,1148,53,11,8,2
11,69,8,5,2306,5398,V,11D,5b,2H,Vr,3,1,,3,81,,312,65,,1,1512,52,11,8,1
11,69,5,3,1325,5399,D,09F,5h,3U,Og,2,1,,3,,49,43,66,,1,1124,29,6,5,1
11,69,5,7,1326,5400,D,09F,3g,3U,Og,0,1,,3,,77,43,68,,1,398,33,7,5,1
11,69,7,3,949,5401,D,09F,2e,3U,Og,0,2,1,,,47,43,68,,1,408,43,9,7,2
11,69,8,7,851,5402,D,09G,7a,3U,Og,1,2,,,59,,43,67,,1,784,54,11,8,2
11,69,8,7,1528,5403,D,09G,7a,3U,Og,1,1,,3,63,,43,67,,1,784,54,11,8,1
11,69,8,3,701,5404,X,18E,9j,1L,Ja,0,1,,3,75,,225,68,,1,415,50,10,8,1
11,69,4,7,852,5405,X,18E,9j,1L,Ja,1,1,,3,55,,225,67,,1,756,26,6,4,1
11,69,7,5,702,5406,X,18E,9j,1L,Ja,0,2,1,,39,,225,68,,1,410,45,9,7,2
11,69,6,6,853,5407,X,18E,9j,1L,Ja,2,1,,3,58,,225,66,,1,1134,39,8,6,1
11,69,9,3,703,5408,X,19F,6e,1L,Ja,1,1,,3,62,,217,67,,1,787,57,12,9,1
11,69,9,2,603,5409,X,18E,2h,1L,Ja,0,2,1,,45,,268,68,,1,421,56,12,8,2
11,69,8,7,854,5410,F,11E,8e,2H,Vs,5,1,,3,,41,188,63,,1,2244,54,11,8,1
11,69,8,4,2227,5411,X,17F,5a,1L,Ja,0,2,1,,39,,16,68,,1,416,51,11,8,2
11,69,8,6,604,5412,X,17F,5a,1L,Ja,1,1,,3,53,,16,67,,1,783,53,11,8,1
11,69,9,1,605,5413,X,17F,5a,1L,Ja,2,1,,3,59,,16,66,,1,1150,55,11,8,1
11,69,9,3,606,5414,X,17F,5a,1L,Ja,2,1,,3,69,,16,66,,1,1152,57,12,9,1
11,69,6,7,855,5415,X,20E,3d,1L,Ja,5,1,,3,59,,259,63,,1,2230,40,8,6,1
11,69,7,6,856,5416,X,20E,3d,1L,Ja,1,1,,3,72,,259,67,,1,776,46,10,7,1
11,69,9,1,857,5417,X,20E,3d,1L,Ja,2,2,1,,55,,259,66,,1,1150,55,11,8,2
11,69,9,3,503,5418,X,18E,2c,1L,Ja,1,2,1,,46,,470,67,,1,787,57,12,9,2
11,69,8,5,607,5419,X,18E,2c,1L,Ja,1,1,,3,58,,470,67,,1,782,52,11,8,1
11,69,8,4,504,5420,X,18E,2c,1L,Ja,5,2,1,,48,,470,63,,1,2241,51,11,8,2
11,69,8,5,505,5421,X,18E,2c,1L,Ja,2,1,,3,52,,470,66,,1,1147,52,11,8,1
11,69,9,2,704,5422,X,18E,2c,1L,Ja,1,1,,3,58,,470,67,,1,786,56,12,8,1
11,69,8,7,343,5423,V,12D,4f,2H,Vr,0,2,1,,58,,425,68,,1,419,54,11,8,2
11,69,8,1,28,5424,V,12D,4f,2H,Vr,4,1,,3,71,,425,64,,1,1873,48,10,7,1
